id_restaurant,restaurant_name,phone,street,building,id_cuisine,id_geography
50077828,GOOD MORNING BROOKLYN,8455843361,WYCKOFF AVENUE,31,67,7636
50057074,173 WEBSTER CAFE,7186180832,WEBSTER AVENUE,1692,51,21520
50049169,BAGEL MILL,2124260868,1 AVENUE,1700,6,19083
50086302,CHO WON GARDEN,7188868100,NORTHERN BLVD,15628,50,17573
40920280,THE ROYAL RESTAURANT,7187453444,5 AVENUE,7609,2,2058
41641305,TASTEE JERK,7182850704,HOLLIS AVENUE,20003,16,7618
50005592,J R SUSHI,9178688688,WEST BROADWAY,86A,47,8848
50016699,TU CASA,7182752421,QUEENS BLVD,10311,76,10367
50073287,BLISS BOWL,5626677851,EAST   42 STREET,122,38,14788
50098204,PROFIT,2126898588,2 AVENUE,643,19,13551
50071630,GLORIA JEAN'S COFFEES,6467552999,QUEENS BOULEVARD,90-15,13,11876
50044006,POLLO CAMPERO,7184362835,5 AVENUE,4518,17,3279
50072032,SEASIDE BAR AND GRILL,7182392787,PENNYFIELD AVENUE,134,63,20345
40589545,KHYBER PASS,2124730989,ST MARKS PLACE,34,0,11054
50007039,FIVE MILE STONE,2129330913,2 AVENUE,1640,2,18987
50083647,787 COFFEE,6466492774,EAST    7 STREET,131,13,10606
40686372,WENDY'S,7186041207,UTICA AVENUE,505,37,3830
50074075,KOTEN'S CARRIBEAN & AMERICAN RESTAURANT,9293641273,PORT RICHMOND AVENUE,537,16,2124
50076550,ISABELA'S MEXICAN RESTAURANT,7188326715,4 AVENUE,4412,53,3344
50035765,SMASHBURGER,3479134169,BOSTON ROAD,4325,37,22929
50091742,CHINA ONE,7186492121,FLATLANDS AVENUE,8901,19,2822
50034113,NOEL'S PIZZA,2125449453,WEST  207 STREET,553,62,22438
41502571,CHIFA RESTAURANT,7188980108,NORTHERN BOULEVARD,7320,61,15390
41583142,THE COTTAGE,2125957450,AMSTERDAM AVENUE,360,19,19275
50012465,TIMES SQUARE DINER & GRILL,2123152400,8 AVENUE,807,2,16991
41280792,JOHNNY UTAHS,2122658824,WEST   51 STREET,25,2,16560
41666100,DAR 525,3474220401,GRAND STREET,525,52,8207
41672156,WILLIAMSBURG PIZZA,7188558729,UNION AVENUE,265,63,7861
50051650,RIKO,2126437555,8 AVENUE,409,61,14481
50053536,JACAL MEXICANO CORP.,6467124975,JAMAICA AVE,18215,26,7955
50012812,PANDA EXPRESS,7186998299,QUEENS BOULEVARD,90-15,19,11876
41554120,BROOKS 1890 RESTAURANT,7189371890,JACKSON AVENUE,2428,46,13742
41694248,LA NUEVA CARICIA RESTAURANT,2124913983,AMSTERDAM AVENUE,1693,53,20797
41719497,MCDONALD'S,7184849413,PITKIN AVENUE,1642,37,4254
50015263,LA POSADA MEXICAN FOOD,2122134379,3 AVENUE,364,53,12728
41561100,SOPHIE'S CUBAN CUISINE,2126089900,CHAMBERS STREET,96,76,8742
50097414,Manhattan Halal Restaurant,3478223946,WEST   29 STREET,156,42,13923
50084694,TIA JULIA RESTAURANT,9294243220,CASE ST,4008,53,14136
41364122,CHECKERS,7188164382,FOREST AVENUE,2270,37,2015
50004933,MEE NOODLE SHOP,2122607838,1 AVENUE,223,19,11480
50089270,27 MORTON,2129294339,MORTON STREET,27,28,11500
40902084,VICTORIA'S PIZZERIA,7188038408,ROOSEVELT AVENUE,111-17,62,14812
41702610,THE STRAND SMOKE HOUSE,7184403231,BROADWAY,25-27,9,17432
41703389,REGO PARK DELI & PASTRY,7189970957,63 ROAD,9734,26,11531
50010838,RAINBOW ROOM,2126325000,ROCKEFELLER PLAZA,30,2,16302
41641875,SUSANO'S PIZZERIA & RESTAURANT,7183811717,SENECA AVENUE,679,62,7285
50012181,TWO BROTHERS PIZZA,7188246261,BUHRE AVENUE,3039,62,21703
50069432,ACAPELLA 238 PIZZERIA,3478438090,WEST  238 STREET,124,63,22816
50068812,NEW HONG KONG CHINESE FOOD,7187230307,MERRICK BLVD,12701,19,5356
41530056,TACO KING,7188968100,108 STREET,64-05,79,11719
50100785,AVENUE X BAGELS,9175004825,CONEY ISLAND AVENUE,2650C,6,693
50059272,SISTERS,3477632537,FULTON STREET,900,2,5489
50056932,PLATO Y RUMBA RESTAURANT,3478624747,JEROME AVENUE,2958,51,22615
50035684,VSPOT ORGANIC,2122543693,SAINT MARKS PLACE,12,51,11149
41117697,WENDY'S,7186810483,WEST  170 STREET,19,37,21417
50078920,TATOS PIZZA,7186213300,18 AVENUE,8411,62,1206
41680485,FLAMINGO RESTAURANT AND MANTRA LOUNGE,7188351000,ROCKAWAY BLVD,1200406,16,4588
50059894,NEW HAWAII II,7188637700,EAST TREMONT AVENUE,4112,19,20582
50073555,DON MARIO ROTISSERIE CHICKEN,7187489090,3 AVENUE,7302,53,2291
50090445,YOUWAY VILLAGE CUISINE,7182688833,QUEENS BOULEVARD,98-108,19,10810
50054262,GONG CHA,7182717372,JUNCTION BLVD,6135,13,11830
50059566,GREEN LEAF CHINESE & THAI CUISINE,7188942228,METROPOLITAN AVENUE,72-60,19,8386
41346788,PRET A MANGER,6466881050,3 AVENUE,757,68,15269
50002590,ST BESS RESTAURANT,3479646333,BAYCHESTER AVENUE,4466,16,23010
50071607,NEW CITY ASIAN CUISINE,7184178333,KNICKERBOCKER AVENUE,236,19,7251
50050693,BEAST AND BOTTLES,7188553158,ATLANTIC AVENUE,151,33,6158
50077368,SWEET TOOTH RESTAURANT AND GRILL,3472028735,BOSTON ROAD,3762,16,22777
41678381,MOTI MAHAL DELUX,2123713535,1 AVENUE,1149,42,17103
41705479,NEW SIU'S KITCHEN,7182841133,CHURCH AVENUE,4324,19,3460
40400366,VIN ET FLEURS,2129665417,THOMPSON STREET,69,33,10314
41114768,PUFFY'S TAVERN,2122273912,HUDSON STREET,81,2,9407
41266395,SCHNITZEL HAUS,7188365600,5 AVENUE,7319,35,2178
41470674,ONE AND ONE,2125989126,1 AVENUE,12,45,10208
50045971,GT KINGSTON RESTAURANT & BAR,7188486006,LEFFERTS BLVD,11445,16,4950
40391032,KABAB CAFE,7187289858,STEINWAY STREET,2512,29,18209
41595841,BROTHERS SEAFOOD,3476661021,WALTON AVENUE,632,71,20682
41396658,1893 SPORTS BAR,9172843260,EAST  161 STREET,1,2,20988
50064555,SYCAMORE,3472405850,CORTELYOU ROAD,1118,2,2816
41648237,GONZALEZ Y GONZALEZ,2124737878,MERCER STREET,192,53,10622
50050254,HO WAN,7188433288,LIBERTY AVE,11105,19,5663
41638031,MAMAJUANA CAFE,7188248400,EAST TREMONT AVENUE,3233,76,21247
40364576,TOUT VA BIEN,2122650190,WEST   51 STREET,311,33,17380
40881492,BIG DADDY'S DINER,2124771500,PARK AVENUE SOUTH,239,2,12329
50012224,APPLEBEE'S,7188272527,GATEWAY DRIVE,448,2,3524
50058204,KING WAH RESTAURANT ZHANG,7186518080,NORTHERN BLVD,6911,19,15306
50069955,KOTO,7182303881,FLATBUSH AVENUE,263,47,5159
50078971,LOBSTER JOINT,9175830322,NORTH    3 STREET,103,71,9081
50043387,LINDA PIZZA,7182923100,3 AVENUE,3240,62,20757
50014338,HARMONY CAFE (LEHMAN COLLEGE)l,5167977066,BEDFORD PARK BLVD WEST,250,13,22656
50064195,THE DUMPLING HOUSE,7186393996,BROADWAY,83-05,19,12725
41656198,SULLIVAN STREET BAKERY,2129295900,9 AVENUE,236,7,13938
50059651,INDIAN XPRESS 2,7185244608,HYLAN BOULEVARD,1201,42,828
41331752,DON GIOVANNI,2125814939,WEST   44 STREET,358,63,16397
50088817,BLAZE JAMAICAN RESTAURANT,9294642330,CORSON AVENUE,3,16,2733
41086188,VAN DAM DELI,7187869826,VAN DAM STREET,52-50,76,12097
41213444,GOOGLE 5BB,2125657305,9 AVENUE,76,2,12848
50069925,KHAO NOM,3479444257,77TH ST,4206,80,13085
41538914,APPLEBEE'S,3472265700,EXTERIOR STREET,610,2,20689
40926286,WHITE BEAR,7189612322,ROOSEVELT AVENUE,135-02,19,16363
41337465,CAFE SELECT,2129259322,LAFAYETTE STREET,212,28,9994
40959591,BA XUYEN,7186336601,8 AVENUE,4222,83,3180
50001855,MANGIA,2126449144,MADISON AVENUE,422,2,15902
50095245,PIA PIZZERIA,7186466786,NOSTRAND AVENUE,3682A,62,740
50003712,EL POLLO ENCHILADO,7186451480,EAST    3 STREET,1869,53,1093
50047078,POKE FRESH SUSHI,2125355798,YORK AVENUE,1588,21,18729
41271274,UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM,7187483494,BAY RIDGE PARKWAY,1272,41,1723
40826271,FRONT STREET PIZZA,7188753700,FRONT STREET,80,62,7199
40376204,PORTOVINO,7182611239,ASCAN AVENUE,109-32,46,9445
50056417,FINGERLINKING RESTURANT,3475336335,FULTON STREET,2017,1,4994
50059195,EMPANADA CITY,7183635252,LINCOLN ROAD,363,76,3849
50003178,SOFIA MEXICAN RESTAURANT,3476662592,SUYDAM STREET,187,53,6930
50056599,LITTLE FROG FRANCOIS LATAPIE,3475375786,EAST   86 STREET,322,33,19009
50092870,PAPA THAI,2128661857,FREDERICK DOUGLASS BOULEVARD,2115,80,20498
50039368,GOOD NIGHT SONNY,9173328432,1 AVENUE,134,2,10910
50014375,WING HING SEAFOOD RESTAURANT,7189980360,AVENUE U,1217,19,845
50051321,JUPITER DISCO,9178552111,FLUSHING AVENUE,1237,2,7854
40786301,EL RANCHITO DE DAISY,7186613307,150 STREET,4149,51,17001
50011568,IL FALCO,7187070009,44 DRIVE,21-50,46,14097
41015818,BOZU,7183847770,GRAND STREET,296,47,8438
50001226,PATTIE HUT,7186227222,NOSTRAND AVENUE,516,16,5318
41694453,JACK'S STIR BREW COFFEE,2129296011,DOWNING STREET,10,13,11240
40786902,BOSTON MARKET,7182241747,BELL BOULEVARD,2390,2,19169
50046004,NEW WAH KWONG RESTAURANT,7186541161,BURKE AVENUE,727,19,22593
50043436,SUBWAY,2122837526,WEST  135 STREET,300,68,20506
50013433,BALVANERA,2125333348,STANTON STREET,152,76,9767
50015893,J'S ON THE BAY,7187200922,BAY STREET,1189,2,1458
50044265,NEW TASTE RESTAURANT,7185928738,CORONA AVE,9462,19,12920
50099983,LOS MARIACHIS RESTAURANT INC,7188263388,CONEY ISLAND AVENUE,805,53,2696
50060047,BRAVO PIZZA,9177477156,WEST   37 STREET,107,48,14877
41636512,The Rochard NYC,2127228959,LEXINGTON AVENUE,1504,2,19493
41395402,CITI FIELD BLUE SMOKE/STAND 139,7185958100,126TH ST  & ROOSEVELT AVENUE,000,2,15230
41034539,HOLLYWOOD DINER,2126918465,6 AVENUE,574,2,12414
41016441,JAMAICAN FLAVORS,7189774155,SPRINGFIELD BOULEVARD,134-41,16,5071
50060138,MR DEMUS FISHNET RESTAURANT,7185270262,LINDEN BLVD,19009,16,6300
50071938,CHINA CITY,7183023888,MYRTLE AVENUE,903,19,6639
50074863,CROWN FRIED CHICKEN,7182965003,JAMAICA AVE,7438,17,6224
41465611,WING CHANG FOOD HOUSE,7186224720,FULTON STREET,1389,19,5190
50076558,GOLDEN PALACE SEAFOOD RESTAURANT,9176021068,86 STREET,1619,19,1256
41450589,LA PERLA DEL ULUA RESTAURANT,7183669407,MELROSE STREET,354,76,7355
40582271,LECHON HORNADO ECUATORIANO,7182057357,ROOSEVELT AVENUE,76-18,51,13861
50032812,TWIN DONUT,9147797100,BROADWAY,5099,27,22581
50065644,NEW GRAND BUFFET,7182788889,48TH ST,3445,19,15009
40365577,V & T RESTAURANT,2126668051,AMSTERDAM AVENUE,1024,46,20059
41269723,STARBUCKS,2125647025,WEST   34 STREET,151,13,14590
50049662,NEW CARRIZAL RESTAURANT,3479150505,BROADWAY,1346,76,6101
50042180,MARIO'S PIZZA 2,7189916142,WESTCHESTER AVENUE,1011,62,20775
50042765,STARBUCKS,6468877285,EAST   40 STREET,5,13,14894
50077905,LAKOU,3472950566,UTICA AVENUE,195,13,4433
41638918,ANGELO'S PIZZERIA,2123334333,WEST   57 STREET,117,62,17740
41198338,ROYALE,9177049412,AVENUE C,157,2,10500
50082236,SUBWAY,3472233308,HILLSIDE AVE,18118,74,8468
50044289,BAYARD BO KY RESTAURANT,2124062292,BAYARD ST,78-80,19,8929
50051014,LA PARADA RESTAURANT,7183690115,4 AVENUE,855,51,3667
50090396,HEALTHY SPOT,3477650320,CORONA AVE,10409,49,13271
40364691,THE GEORGIAN SUITE KITCHEN,2127341468,EAST   77 STREET,1A,22,18861
41653101,MI PEQUENO RANCHITO,7186334536,NEW UTRECHT AVENUE,4614,53,2776
50088906,MAGGY'S PIZZA,3475771994,LEGGETT AVENUE,961,62,20460
41671103,ALFIE'S,2127572390,9 AVENUE,800,45,17915
41451984,FAITHY'S KITCHEN,7186550780,DYRE AVENUE,3907,16,22922
41393008,THIRD RAIL COFFEE,6468250812,SULLIVAN STREET,240,13,11269
40794835,PIZZA PORT,7188437533,LEFFERTS BOULEVARD,13515,62,4318
50043003,BANGIA,2126796790,EAST   32 STREET,11,50,13815
40872441,STARBUCKS COFFEE,2127541864,LEXINGTON AVENUE,599,13,16216
50083078,PETITE BOUCHERIE / OMAKASE ROOM,2122047111,CHRISTOPHER STREET,14,33,11890
50014414,BURGER HEAVEN,2127552166,EAST   49 STREET,20,2,16017
41505165,WINE BAR & RISTORANTE,2124271010,2 AVENUE,1742,46,19227
41337804,JUST LORRAINE'S PLACE,2122340720,ADAM CLAYTON POWELL BOULEVARD,2247,2,20399
50059791,PASTELES CAPY,6466660479,SAINT NICHOLAS AVENUE,1320,7,21637
50037802,RESTAURANT LA SAVANE,6464904644,WEST  116 STREET,239,1,20073
41491151,TINY'S GIANT SANDWICH SHOP,2122284919,RIVINGTON STREET,129,68,9592
41388629,CAPIZZI,2126956900,9 AVENUE,547,62,15984
50043433,THE DOLAR SHOP,7185687777,37TH AVE,13353,19,16850
50091821,DOMINO'S PIZZA,7185374700,WEBSTER AVENUE,1351,62,21222
50093837,UZ CORNER COFFEE SHOP,7186997626,99 STREET,54-01,2,12493
41170643,LITTLE MOROCCO RESTAURANT,7182048118,STEINWAY STREET,2439,55,18271
50055639,LA NEWYORKINA,6468610727,SULLIVAN STREET,240,41,11269
50003444,EZ GRILL NYC,3472818802,LYDIG AVENUE,790,52,22008
41665029,EVENTS AT STONE PARK,9172505000,3 STREET,357,2,4496
50074754,AFGHAN CHAI KHANA,7187215020,31ST ST,2310,0,18696
50032865,TRUMP GOLF LINKS AT FERRY POINT,7844141555,HUTCHINSON RIVER PARKWAY,500,2,20355
50040360,HARDEE,7187732789,UTICA AVENUE,209,19,4400
50054573,BURGER KING,9173381887,LIBERTY STREET,106,37,8047
50009755,FORNO ROSSO PIZZERIA,7184513800,GOLD STREET,327,46,6551
40367365,FLAME RESTAURANT COFFEE HOUSE,2127657962,9 AVENUE,893,2,18269
41624530,PIO PIO,2124592929,10 AVENUE,604,61,16761
50057884,PAN-TASTIC,7187865280,NORTHERN BOULEVARD,42-02,50,15091
50064240,DAXI SICHUAN,9175631983,ROOSEVELT AVENUE,136-20,19,16540
50058097,CROWN FRIED CHICKEN,9179662500,UTICA AVENUE,148,2,4544
50059612,PALACE OF ZULY,7183664555,WYCKOFF AVENUE,913,76,6706
50073164,NEW KAM SHENG,7185495511,WEST  238 STREET,454,19,22895
41395226,DELICIOSO RESTAURANT,7186653336,EAST  149 STREET,423,51,20474
50089754,PEACHES,3474637060,CHURCH AVENUE,4213,16,3456
50096242,LUX BAKERY,7186802988,4 AVENUE,6816,7,2472
41542069,INSOMNIA COOKIES,2153831319,AMSTERDAM AVENUE,405,2,19336
50078041,PIG HEAVEN,2127444333,3 AVENUE,1420,19,18837
50066744,THIP OSHA,7183887787,GRAND STREET,795,80,8306
50075946,EM STAR CAFE,6465068008,DIVISION STREET,19,19,8619
50017465,PRO THAI,9174751494,LEXINGTON AVENUE,1575,80,19586
41690824,UNION GROUNDS,3477631935,SMITH STREET,270,2,5443
41297769,BROTHERS FISH MARKET,2127811899,BROADWAY,3845,71,21261
41521287,WEST NEW MALAYSIA RESTAURANT,2129640284,BOWERY,4648,4,10436
50070049,LA MIA PIZZA,2124721200,1 AVENUE,1580,63,18733
40667358,COPPOLA'S,2126790070,3 AVENUE,378,46,12788
50065192,XINYANG RESTAURANT,7189618877,41 AVENUE,136-21,19,16281
50087565,GOURMET PARK,2129358500,EAST   60 STREET,119,26,17388
41213163,PAESANO'S,2129651188,MULBERRY STREET,136,46,9408
41577604,DIAMOND KRUST,7184676720,UTICA AVENUE,387,16,4015
50000510,JERUSALEM STEAKHOUSE,7182588899,AVENUE J,1319,48,1909
50069127,KIKI'S GRILL & ROTISSERIE,3473618054,DIVISION STREET,121,36,8691
50000600,GYRO EXPRESS,7182781230,21 AVENUE,77-06,36,18471
50057069,FORDE'S SPORTS BAR,3476409585,DUMONT AVENUE,85,16,3910
50086684,12TH ST. ALE HOUSE,2122532323,2 AVENUE,192,11,11536
50083886,ST ENDS,3474137558,FRANKLIN AVENUE,667,11,4718
50008218,CITRICO,3479554519,WASHINGTON AVENUE,681,53,4839
50092153,XING WONG BBQ,2127798899,EAST BROADWAY,89,19,8547
50060028,BOBA GUYS,6179019264,WAVERLY PLACE,11,13,11341
50017185,OASIS JIMMA JUICE BAR,6465900685,BROADWAY,3163,49,20437
50043277,POKEWORKS,2125758881,WEST   37 STREET,63,38,14728
50082248,PHILLY PRETZEL FACTORY,7185248892,FOREST AVENUE,604,40,2138
50009424,TOKYO YA,7182889399,7 AVENUE,5603,21,2779
50079473,SKAL,7186762288,LEWIS AVENUE,373,2,5445
50092246,VIVI BUBBLE TEA,7182786075,DITMARS BLVD,3516,13,18759
50052785,BRAVO PIZZA,2122351114,7 AVENUE,360,2,14166
50056272,SPOONS,7183777373,AVENUE J,2923,48,1999
50032852,DAILY BAGEL,2123714907,1 AVENUE,1111,2,16820
50036222,ASTORIA CRAFT BAR & KITCHEN,7182784300,26TH RD,1801,2,18651
50083854,OPAI THAI,2128668989,AMSTERDAM AVENUE,722,80,19740
41564778,MELA'S CAFE,7189012181,WASHINGTON AVENUE,1735,76,21518
50069124,RED HOT HOT POT,6469983337,COLUMBUS AVENUE,1000,19,19997
50081725,TERANGA TAC,9178596854,5 AVENUE,1280,1,19817
50044611,ROOT HILL CAFE,9172519336,4 AVENUE,262,13,4775
41595439,2 BROS PIZZA,7187970336,FLATBUSH AVENUE EXTENSION,395,62,6098
50013883,NEW YORK SHAKE & BURGER,7185231900,LIBERTY AVENUE,147-01,2,6671
50043525,BENY'S DELICE,7186221400,FULTON STREET,903,2,5543
40750279,VIEW RESTAURANT,2127048900,BROADWAY,1535,2,16215
41659449,FUJI SUSHI,7188160188,HYLAN BOULEVARD,1115,47,854
50059605,THE KING OF TACOS,7184240299,31ST AVE,9017,53,16603
50055398,URBANA,7184384448,53 STREET,1305,48,2274
50078965,OCEANVIEW BITES,7187411426,AT WEST 8TH STREET,BOARDWALK,2,23056
41462864,DIRTY PIERRES BISTRO,7188309698,STATION SQUARE,13,33,9522
50004330,KFC,7184922813,5 AVENUE,5223,17,3092
41226816,SUBWAY,7188457400,SUTPHIN BOULEVARD,11414,68,5742
40871752,JIAN ON CHINESE RESTAURANT,7184706538,HILLSIDE AVENUE,26805,19,12427
41219092,5TH & MAD,2127252353,EAST   36 STREET,7,45,14385
41086054,COCK'S BAJAN RESTAURANT,7187718933,NOSTRAND AVENUE,806,16,4372
50087226,MCDONALDS,7325159898,EAST  167 STREET,86,37,21220
50010859,RETRO GRILL,7185131919,CONEY ISLAND AVENUE,2556,48,749
41545586,FALLSBURG BAGELS,7188533323,16 AVENUE,4602,48,2278
41554280,THE PASTELILLOS HOUSE & DELI,7182921540,EAST  138 STREET,613,51,20149
50072849,DUN HUANG UPPER WEST SIDE/MELLOW TEA,6464764549,AMSTERDAM AVENUE,1268,19,20328
50011127,MINT MASALA,2127772888,MACDOUGAL STREET,95,42,11203
41372918,DONNYBROOK,2122287733,CLINTON STREET,3739,45,9026
41353929,PIZZARAMA,7186317405,FRANCIS LEWIS BOULEVARD,3715,62,17285
41403222,YOLIE'S BAR & RESTAURANT,3472535410,CLARENDON ROAD,5722,23,3145
50043427,EIGHT JANE FOOD,7185819077,MAIN ST,3712,4,16969
50016036,U LIKE CHINESE TAKE OUT,2129426668,BROADWAY,4926,19,22490
40400561,FORTUNATO BROS CAFE & BAKERY,7183872281,MANHATTAN AVENUE,289,7,8543
50077337,HUNGRY GHOST COFFEE,2026796431,FULTON STREET,590,13,5950
50080928,PICCOLO'S,3475875777,BAY PARKWAY,8774B,62,838
50065358,ANDIAMO CAFE,7186187989,GRAND CONCOURSE,2467,2,22247
50047811,SWEET JANE'S,7183812031,68TH AVE,6402,2,7584
40762853,GREAT N.Y. NOODLETOWN,2123490923,BOWERY,28,19,8812
40396264,DA NICO RESTAURANT,2123431212,MULBERRY STREET,164,46,9648
50045335,THE MEZZ (GOOGLE),2019957153,9 AVENUE,75,2,12838
50046492,I LAND FISH & GRILL,7184446812,FLATLANDS AVENUE,7911,16,2471
41387010,SARAGHINA RESTAURANT,7185740010,HALSEY STREET,435,46,5534
41040849,DISHES,2126875511,EAST   45 STREET,6,2,15475
41034123,POLLOS MARIO,7182057777,ROOSEVELT AVENUE,86-13,51,14104
50057901,GINGER ROOT,2127513316,1 AVENUE,1164,19,17267
40399672,BAGELS & CREAM CAFE,7189692640,SURREY PLACE,80-02,7,10627
50084746,WILLIAMSBURG THAI CUISINE,9293377651,BEDFORD AVENUE,212,80,9103
50066921,HAN DYNASTY,7188580588,ALBEE SQUARE WEST,455,19,6171
41322705,FISHERMAN'S COVE,7188591580,NEWKIRK PLAZA,4,16,2502
50071226,LA PARISIENNE,3476010297,MAIDEN LANE,9,33,8021
50076881,AT NINE RESTAURANT & BAR,2122654499,9 AVENUE,592,80,16309
50067314,KABAB KING,7184575857,37TH RD,7301,42,13880
50075161,YUPDDUK,7183530081,NORTHERN BLVD,15722,50,17522
41171542,NATIONAL BAKERY,7186533870,ALLERTON AVENUE,767,25,22408
50043878,BROWNY,7182292342,NORTHERN BLVD,19519,13,16146
41248866,BARAKA BUFFET,2124913502,FREDERICK DOUGLASS BOULEVARD,2546,1,20498
41604732,KING'S CHEF,7187678100,CROSS ISLAND PARKWAY,153-27,19,19516
41572440,THE LOFT AT ARIANA'S GRAND,7189664522,ARTHUR KILL ROAD,4864,46,52
50056610,LENWICH,2128661878,BROADWAY,2567,68,19777
50032677,DANIELA'S CAFE,7184310999,NEW UTRECHT AVENUE,3901,53,3181
40609087,STRAUSS BAKERY,7188517728,13 AVENUE,5115,48,2358
41387224,B AND B RESTAURANT,6464298174,WEST   26 STREET,165,1,13553
50087247,ELYSIAN FIELDS CAFE,2128371389,AMSTERDAM AVENUE,1207,36,20254
50058133,WENDY'S,7182243636,NORTHERN BLVD,22006,37,16993
50052407,ZESTY PIZZA & SALUMERIA,2129872201,3 AVENUE,1670,62,19353
41721701,BROOKLYN BEET COMPANY,3474920020,3 AVENUE,7205,25,2330
40717559,BILLIARD COMPANY,7185207665,AUSTIN STREET,7049,2,9749
41212437,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,7184624044,CHURCH AVENUE,1617,16,3316
41297129,TROPICAL SENSATION,2122220098,AMSTERDAM AVENUE,953,51,19978
50033207,ISTANBUL BAY TURKISH CAFE,7187144300,86 STREET,2202,81,982
40374814,EUROPA BAR,7182971128,SUTPHIN BOULEVARD,94-02,2,6822
50075191,EL MONUMENTO RESTAURANT BAR & LOUNGE,7184503380,BROADWAY,1185,51,6343
41563707,PIZZERIA GIOVE,3472860635,NEW DORP LANE,278,46,247
50008613,CHIPOTLE MEXICAN GRILL,3476013468,AVENUE U,5102,53,1264
50060796,SUITE 36,2126956636,WEST   36 STREET,16,2,14503
40931302,POPEYES,7183654400,GRAND CONCOURSE,2195,17,22087
41564527,THE ORIGINAL CULPEPPERS RESTAURANT,7189404122,NOSTRAND AVENUE,1082,16,3843
